Date,Vendor,Product,Brand,Price,Grams,Price Per 100g
2024-04-11,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-11,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-12,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-12,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-12,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-13,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-13,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-13,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-14,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-14,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-14,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-15,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-15,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-15,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-16,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.27,800,0.53375
2024-04-16,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-16,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-17,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-17,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-17,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-18,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-18,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-18,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-19,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-19,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-19,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-20,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-20,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-20,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-21,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-21,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-21,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-21,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-04-22,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-22,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-22,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-04-23,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-23,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-23,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-23,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-04-24,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-24,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-24,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-04-25,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-25,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-25,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-25,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-04-26,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-26,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-26,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-26,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-04-27,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-27,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-27,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-27,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-04-28,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-28,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-28,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
2024-04-28,Walmart,"Rudolphâ€™s Bavarian Premium Sandwich Sourdough Bread, 500 g",Rudolphâ€™s,3.97,500,0.794
2024-04-29,Walmart,"La Baguetterie Sliced Sourdough Miche, 800 g",La Baguetterie,4.47,800,0.55875
2024-04-29,Walmart,"Your Fresh Market Sourdough Boule, 550 g",Your Fresh Market,3.47,550,0.630909091
2024-04-29,Walmart,"Portofino Sourdough Artisan Loaf, 585 g",Portofino,5.47,585,0.935042735
